feature,mean_abs_shap
num__hba1c,1.825551
num__Age,1.014774
num__glucose_fasting,0.7730478
cat__gender_Female,0.29448465
num__glucose_postprandial,0.08194733
num__physical_activity_minutes_per_week,0.0702641
num__systolic_bp,0.06685478
num__bmi,0.057847846
num__hdl_cholesterol,0.054114692
num__triglycerides,0.053186268
num__diet_score,0.04741146
num__screen_time_hours_per_day,0.04740643
num__ldl_cholesterol,0.04593251
num__insulin_level,0.045009557
cat__gender_Male,0.043800898
num__diastolic_bp,0.043311626
num__cholesterol_total,0.042531293
num__sleep_hours_per_day,0.039482273
num__heart_rate,0.03267671
num__family_history_diabetes,0.030431
num__waist_to_hip_ratio,0.030160757
num__alcohol_consumption_per_week,0.022308432
cat__income_level_Middle,0.016564332
cat__ethnicity_White,0.015235593
cat__income_level_Lower-Middle,0.0134431515
cat__employment_status_Retired,0.010951201
num__cardiovascular_history,0.010111393
cat__education_level_Graduate,0.009788478
num__hypertension_history,0.00950405
cat__income_level_Upper-Middle,0.00946416
cat__ethnicity_Asian,0.009300826
cat__ethnicity_Black,0.008479792
cat__employment_status_Employed,0.0080197835
cat__smoking_status_Former,0.0072219856
cat__education_level_Highschool,0.0070314347
cat__employment_status_Student,0.0065284516
cat__income_level_Low,0.006495977
cat__smoking_status_Never,0.006189782
cat__employment_status_Unemployed,0.0053667976
cat__ethnicity_Hispanic,0.005186343
cat__education_level_Postgraduate,0.0045060376
cat__smoking_status_Current,0.0043022116
cat__ethnicity_Other,0.003756955
cat__gender_Other,0.002038209
cat__income_level_High,0.0019916727
cat__education_level_No formal,0.0014277174
