feature,mean_abs_shap
num__hba1c,0.0870919372372784
num__glucose_postprandial,0.06469006337464496
num__bmi,0.06451300899388884
num__ldl_cholesterol,0.0607772869717012
num__glucose_fasting,0.058784036619511225
num__cholesterol_total,0.03882385329099711
num__waist_to_hip_ratio,0.03810601159432969
num__family_history_diabetes,0.033140665223378774
num__systolic_bp,0.02854473684841845
num__Age,0.026249977640770715
num__insulin_level,0.018531979716131804
num__triglycerides,0.016973758934415283
num__hdl_cholesterol,0.00923893008123635
num__diastolic_bp,0.007875378702654156
num__diet_score,0.00760347163760567
num__physical_activity_minutes_per_week,0.005783688193155786
num__screen_time_hours_per_day,0.0026608948400002066
num__heart_rate,0.0023727040699556196
num__sleep_hours_per_day,0.0017425145154060307
num__hypertension_history,0.0017102912635296244
num__cardiovascular_history,0.0010980809145881335
num__alcohol_consumption_per_week,0.0010542787719201425
cat__education_level_Highschool,0.000677192008702948
cat__smoking_status_Never,0.0006231175511685935
cat__income_level_Lower-Middle,0.0005760935941957655
cat__ethnicity_White,0.0005706828789975881
cat__education_level_Graduate,0.0005544818221266166
cat__income_level_Middle,0.0005469791921560741
cat__employment_status_Employed,0.0004912937776597352
cat__gender_Female,0.00048652488023769296
cat__smoking_status_Current,0.0004807244432191903
cat__income_level_Upper-Middle,0.00046930040604640323
cat__employment_status_Unemployed,0.00046104131464114927
cat__smoking_status_Former,0.00043752781496395055
cat__ethnicity_Black,0.00043006199084236
cat__income_level_Low,0.00042626248641658177
cat__gender_Male,0.0004091795131129145
cat__education_level_Postgraduate,0.0004070061899658834
cat__employment_status_Retired,0.00039268753878738235
cat__ethnicity_Hispanic,0.00038523714470982694
cat__ethnicity_Asian,0.00037200564468973103
cat__income_level_High,0.0002314434358464746
cat__employment_status_Student,0.00023069916777057037
cat__ethnicity_Other,0.00022737238722355722
cat__education_level_No formal,0.00022368570247938388
cat__gender_Other,9.978414770090304e-05
